Year,Baseline_Temperature_C,Counterfactual_Temperature_C,Temperature_Difference_C,Baseline_CO2_ppm,Counterfactual_CO2_ppm,CO2_Difference_ppm,Baseline_Emissions_MtCO2,Counterfactual_Emissions_MtCO2,Emissions_Difference_MtCO2
1767.5,0.5986167241034696,0.5986167241034696,0.0,279.13842843525146,279.13842843525146,0.0,0.42544800971789465,0.42544800971789465,0.0
1768.5,0.6345278677553355,0.6345278677553355,0.0,279.1862363376618,279.1862363376618,0.0,0.43304997638732984,0.43304997638732984,0.0
1769.5,0.6707578085906938,0.6707578085906938,0.0,279.23472506079827,279.23472506079827,0.0,0.4407917226896865,0.4407917226896865,0.0
1770.5,0.707740877400187,0.707740877400187,0.0,279.28394723105373,279.28394723105373,0.0,0.45002099390333017,0.45002099390333017,0.0
1771.5,0.7462350348557659,0.7462350348557659,0.0,279.33409838790675,279.33409838790675,0.0,0.45805008208073833,0.45805008208073833,0.0
1772.5,0.7856641537237452,0.7856641537237452,0.0,279.3850619693542,279.3850619693542,0.0,0.46622680731631433,0.46622680731631433,0.0
1773.5,0.8243064054032366,0.8243064054032366,0.0,279.4368934929412,279.4368934929412,0.0,0.47455388570670604,0.47455388570670604,0.0
1774.5,0.8600567614686849,0.8600567614686849,0.0,279.48960701859863,279.48960701859863,0.0,0.4830340833169166,0.4830340833169166,0.0
1775.5,0.8960817607398011,0.8960817607398011,0.0,279.543183309909,279.543183309909,0.0,0.4930892796720026,0.4930892796720026,0.0
1776.5,0.9331937504927976,0.9331937504927976,0.0,279.5978288775612,279.5978288775612,0.0,0.5018842184035635,0.5018842184035635,0.0
1777.5,0.9696972212376254,0.9696972212376254,0.0,279.6534146928489,279.6534146928489,0.0,0.510840883637695,0.510840883637695,0.0
1778.5,1.005142830491864,1.005142830491864,0.0,279.70997010812886,279.70997010812886,0.0,0.5199622506762416,0.5199622506762416,0.0
1779.5,1.041014995168746,1.041014995168746,0.0,279.7675106885646,279.7675106885646,0.0,0.5292550450334811,0.5292550450334811,0.0
1780.5,1.0758058270282356,1.0758058270282356,0.0,279.8260834484481,279.8260834484481,0.0,0.5405146818265687,0.5405146818265687,0.0
1781.5,1.1109396514443977,1.1109396514443977,0.0,279.8858950131683,279.8858950131683,0.0,0.550148582254376,0.550148582254376,0.0
1782.5,1.1464839864604994,1.1464839864604994,0.0,279.9467562138149,279.9467562138149,0.0,0.55996333870227,0.55996333870227,0.0
1783.5,1.1821336483576719,1.1821336483576719,0.0,280.0087264019089,280.0087264019089,0.0,0.5699548194631179,0.5699548194631179,0.0
1784.5,1.2190023093738773,1.2190023093738773,0.0,280.0718420832118,280.0718420832118,0.0,0.5801377107736195,0.5801377107736195,0.0
1785.5,1.25389827302543,1.25389827302543,0.0,280.1361632655687,280.1361632655687,0.0,0.5927986355177579,0.5927986355177579,0.0
1786.5,1.2884548619383935,1.2884548619383935,0.0,280.20192395527073,280.20192395527073,0.0,0.603355231724653,0.603355231724653,0.0
1787.5,1.322376346456477,1.322376346456477,0.0,280.26885898644457,280.26885898644457,0.0,0.6141021999594296,0.6141021999594296,0.0
1788.5,1.353933320103583,1.353933320103583,0.0,280.33701395397907,280.33701395397907,0.0,0.6250505014560961,0.6250505014560961,0.0
1789.5,1.3858139316182432,1.3858139316182432,0.0,280.4063784877023,280.4063784877023,0.0,0.63620007670524,0.63620007670524,0.0
1790.5,1.418194670047245,1.418194670047245,0.0,280.4770143821141,280.4770143821141,0.0,0.6498088914920733,0.6498088914920733,0.0
1791.5,1.4517454007221016,1.4517454007221016,0.0,280.549226644067,280.549226644067,0.0,0.6620189674882638,0.6620189674882638,0.0
1792.5,1.4859156201558075,1.4859156201558075,0.0,280.62285766332957,280.62285766332957,0.0,0.6738100360722689,0.6738100360722689,0.0
1793.5,1.519224816648881,1.519224816648881,0.0,280.6978903167362,280.6978903167362,0.0,0.6857482222131754,0.6857482222131754,0.0
1794.5,1.5494856035699602,1.5494856035699602,0.0,280.774335815139,280.774335815139,0.0,0.6979661661272785,0.6979661661272785,0.0
1795.5,1.5797552023791732,1.5797552023791732,0.0,280.8521626434208,280.8521626434208,0.0,0.7114967717684133,0.7114967717684133,0.0
1796.5,1.6109408252154729,1.6109408252154729,0.0,280.93155428150163,280.93155428150163,0.0,0.7253138965904856,0.7253138965904856,0.0
1797.5,1.6413685678956735,1.6413685678956735,0.0,281.0125704151633,281.0125704151633,0.0,0.7392238455766408,0.7392238455766408,0.0
1798.5,1.6706392679515882,1.6706392679515882,0.0,281.0951981289746,281.0951981289746,0.0,0.7537167439296475,0.7537167439296475,0.0
1799.5,1.6995519871590221,1.6995519871590221,0.0,281.17948209864613,281.17948209864613,0.0,0.7688829426973586,0.7688829426973586,0.0
1800.5,1.7276056004295544,1.7276056004295544,0.0,281.26550109725366,281.26550109725366,0.0,0.7822756362962657,0.7822756362962657,0.0
1801.5,1.7561094011855387,1.7561094011855387,0.0,281.3530332777259,281.3530332777259,0.0,0.8046596181245348,0.8046596181245348,0.0
1802.5,1.7844114382284595,1.7844114382284595,0.0,281.44316316572673,281.44316316572673,0.0,0.8138236811860189,0.8138236811860189,0.0
1803.5,1.8130598306010839,1.8130598306010839,0.0,281.5342527083422,281.5342527083422,0.0,0.8311424084751923,0.8311424084751923,0.0
1804.5,1.8423812788765086,1.8423812788765086,0.0,281.6274222030796,281.6274222030796,0.0,0.8450038809476331,0.8450038809476331,0.0
